city,x,y
长春,4366.018771170044,4529.621205924437
重庆,2786.3383805555122,2919.4269673429976
大连,4053.1470882009216,3974.374512309776
东莞,3394.6281214933556,2190.082799800924
鄂尔多斯,3077.588104602087,4071.72158532389
房山,3571.191150365567,4061.654941435487
哈尔滨,4479.057539193271,4739.94507103646
合肥,3690.603837566745,3179.945445910394
开封,3444.0973477659863,3509.1823594688653
兰州,2558.6477161861853,3650.794530052855
南京,3816.3672476424604,3201.2924441128384
沈阳,4207.8362088362655,4295.200536612343
顺义,3643.9720368019266,4109.690068799511
唐山,3766.3584523405707,4053.1044304127604
天津,3684.558112179741,3996.2741878713227
武汉,3441.116618695501,3035.69853987893
芜湖,3783.2340902601827,3123.7522197564276
西安,2990.0713416111994,3450.3942193079233
新沙港,3376.0385198282734,2188.1467104107614
盐城,3931.6534603474447,3349.663992625753
郑州,3385.058192128342,3504.1068982208617
株洲,3341.497909971984,2726.795360474977
保定,3540.239574303682,3967.40307429795
万州,2944.6851190495277,3050.166334784696
烟台,4029.2687393893366,3815.9604317310495
深圳,3416.708119328348,2134.3329298627687
佛山,3341.693891380329,2189.1933314679604
番禺,3365.4756195079085,2177.918839272204
襄樊,3261.1498324733784,3205.521402576068
柳州,3029.540504816205,2334.3489337703622
成都,2579.220475645821,3046.7884602233494
国际水运,4056.9587578845226,3120.182692307693
常熟,3989.062381025716,3157.7904220286346
上海,4044.2677878960462,3110.643140546571
大庆,4341.477706567954,4832.323127244443
黄岛,3933.3917793094406,3644.1528180000123
杭州,3937.5829235281344,2999.5947312620633
九江,3582.714050009371,2939.062126327831
太原,3292.6490484083383,3855.640054130974
齐河,3639.769016085783,3724.7464789346154
沧州,3655.3743114588187,3901.3350553249998
国际业务部,13622.103186155588,14088.5496794871797
新疆,1027.2921973048763,4330.913568966291
宁波,4051.929986373354,2957.6412301510636
青岛,3951.464120251428,3655.3926972582813
长久联合物流,3781.046741064208,2191.067307692308
宝鸡,2840.1642625326226,3460.073167760175
贵阳,2801.354049815853,2592.4574870206175
长久集运,4056.9587578845226,3120.182692307693
抚州,3613.080674559972,2741.054746664896
city1,0,0
city2,0,0
city3,0,0
city4,0,0
city5,0,0
city6,0,0
city7,0,0
city8,0,0
city9,0,0
city10,0,0
